block_size,tokens_per_step,problem_idx,tier,n_tokens,stop,repeat4,boxed,correct,progress,redundancy,coverage
32,2,6,easy,768,budget,0.17867435158501443,0,0,0.2,0.28968664422454343,0.42143128116772804
32,2,7,easy,288,box,0.027972027972028024,1,1,0.48571428571428577,0.1967006736393463,0.5365242020932909
32,2,8,easy,224,eos,0.0234375,0,0,-0.4285714285714286,0.0957926644725516,0.4365930846943167
32,2,9,easy,448,box,0.07228915662650603,1,0,0.3142857142857143,0.17244232626536518,0.4426505055404993
32,2,10,easy,320,eos,0.26696832579185525,0,0,-0.6,0.36886890925256977,0.4053267779958074
32,2,11,easy,256,box,0.01941747572815533,1,1,0.3714285714285715,0.09491087462594722,0.3798356598574163
32,2,12,easy,352,box,0.03488372093023251,1,1,-0.942857142857143,0.1284018128867163,0.5476398164583509
32,2,13,easy,480,box,0.11702127659574468,1,1,1.0,0.21056438553583934,0.37365036401837
32,2,14,easy,384,box,0.18799999999999994,1,1,0.028571428571428574,0.28431755624902694,0.5282805290854131
32,2,15,easy,160,box,0.13725490196078427,1,0,0.2,0.2810198389699731,0.4443449806648325
32,2,16,easy,192,box,0.028846153846153855,1,1,0.6,0.10543320475890965,0.4488285353885602
32,2,17,easy,256,box,0.15384615384615385,1,1,0.6571428571428573,0.27860610581571715,0.5679230025066099
32,2,18,easy,768,budget,0.6395833333333334,0,0,-0.3714285714285715,0.6927709018012204,0.2422939851537809
32,2,19,easy,768,budget,0.12468827930174564,0,0,-0.7714285714285715,0.23505689830734008,0.4004566496307889
32,2,20,medium,736,box,0.10361445783132528,1,0,-0.7142857142857143,0.21310603831975097,0.5148347288637086
32,2,21,medium,640,box,0.1584699453551912,1,0,0.028571428571428574,0.18305209114698665,0.4277473604036928
32,2,22,medium,352,box,0.0625,1,0,-0.3142857142857143,0.14951085463112218,0.4120343912593671
32,2,23,medium,544,box,0.16171617161716167,1,0,-0.08571428571428573,0.2483481699816693,0.366579713986901
32,2,24,medium,768,budget,0.21958456973293772,0,0,-0.8285714285714287,0.414834068743148,0.23117333427962627
32,2,25,medium,768,budget,0.27254509018036077,0,0,0.2,0.2079552727086758,0.45809011859085863
32,2,26,medium,640,box,0.05980066445182719,1,0,-0.5428571428571429,0.17199139331157504,0.3158459660770766
32,2,27,medium,736,box,0.06367924528301883,1,0,-0.4285714285714286,0.22733635991045636,0.5344638813575688
32,2,28,medium,768,budget,0.02310231023102305,0,0,-0.5428571428571429,0.255283542798557,0.40669953431375533
32,2,29,medium,640,box,0.10502283105022836,1,0,0.6,0.24485933684898115,0.436279664796286
32,2,30,hard,768,budget,0.06382978723404253,0,0,0.14285714285714288,0.2986773711263936,0.5619150473326033
32,2,31,hard,768,budget,0.06309148264984232,0,0,-0.7714285714285715,0.24745016944631334,0.4724084114116623
32,2,32,hard,224,eos,0.06956521739130439,0,0,0.2571428571428572,0.1841042245413564,0.37496793007338636
32,2,33,hard,768,budget,0.8447098976109215,0,0,-0.6,0.8329897769100223,0.25772970940593576
32,2,34,hard,256,box,0.14880952380952384,1,0,0.2,0.37362144360025007,0.5626163893727875
32,2,35,hard,320,eos,0.08280254777070062,0,0,0.5428571428571429,0.1931753506774681,0.32948038018553677
32,2,36,hard,608,box,0.10441767068273089,1,0,-0.08571428571428573,0.27992027416079374,0.3318926149957048
32,2,37,hard,768,budget,0.3783783783783784,0,0,-1.0,0.29879332976434975,0.4285870641173194
32,2,38,hard,768,budget,0.03488372093023251,0,0,-0.08571428571428573,0.21691881431006296,0.3732906810685379
32,2,39,hard,768,budget,0.37850467289719625,0,0,0.6,0.5625450103389742,0.5599498704920503
32,4,0,easy,192,box,0.027272727272727226,1,0,-0.2,0.16844642638062318,0.41757731803812803
32,4,1,easy,352,box,0.0535714285714286,1,1,-0.5428571428571429,0.2724605823673843,0.6859603477957639
32,4,2,easy,512,box,0.16923076923076918,1,1,0.6,0.22697957150218664,0.6127448205591741
32,4,3,easy,768,budget,0.29314420803782504,0,0,-0.6571428571428573,0.259542343115869,0.22481123664428287
32,4,4,easy,96,box,0.12903225806451613,1,1,-0.5428571428571429,0.11694844232214882,0.5866857168276137
32,4,5,easy,768,budget,0.10631229235880402,0,0,0.08571428571428573,0.19982609429101234,0.4669644780964272
32,4,6,easy,768,budget,0.05676855895196509,0,0,0.2,0.20629473208520951,0.5466959964513209
32,4,7,easy,320,box,0.06043956043956045,1,1,0.3142857142857143,0.20528619840787724,0.5218683409395156
